serial,title,language,info_url
SLUS-01041SLUS-01080,CHRONO CROSS  -  [ 2 DISCS ],[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01041.html
SLUS-00697,CIRCUIT BREAKERS,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00697.html
SLUS-00792,CIVILIZATION II,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00792.html
SLUS-01491,CLEOPATRA'S FORTUNE,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01491.html
SLUS-00539,CLOCK TOWER,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00539.html
SLUS-00695,CLOCK TOWER 2 - THE STRUGGLE WITHIN,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00695.html
SCUS-94409,CODENAME TENKA,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94409.html
SCUS-94474,COLIN MCRAE RALLY,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94474.html
SLUS-01222,COLIN MCRAE RALLY 2.0,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01222.html
SLUS-00196,COLLEGE SLAM,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00196.html
SLUS-00543SLUS-00554,COLONY WARS  -  [ 2 DISCS ],[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00543.html
SLUS-00722,COLONY WARS - VENGEANCE,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00722.html
SLUS-00866,COLONY WARS - RED SUN,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00866.html
SLUS-00379SLUS-00410,"COMMAND & CONQUER  -  [ 2 DISCS ]
 Includes: 
		GDI + NOD discs",[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00379.html
SLUS-00431SLUS-00485,"COMMAND & CONQUER - RED ALERT  -  [ 2 DISCS ]
 Includes: 
		Allied + Soviet discs",[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00431.html
SLUS-00665SLUS-00667,"COMMAND & CONQUER - RED ALERT - RETALIATION  -  [ 2 DISCS ]
 Includes: 
		Allied + Soviet discs",[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00665.html
SCUS-94294,CONTENDER,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94294.html
SCUS-94494,CONTENDER 2,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94494.html
SLUS-01305,CONTENDER 2,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01305.html
SLUS-00288,CONTRA - LEGACY OF WAR,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00288.html
SCUS-94356,COOL BOARDERS,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94356.html
SCUS-94358,COOL BOARDERS 2,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94358.html
SCUS-94251,COOL BOARDERS 3,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94251.html
SCUS-94559,COOL BOARDERS 4,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94559.html
SCUS-94597,COOL BOARDERS 2001,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94597.html
SLUS-00898SLUS-01199,COUNTDOWN VAMPIRES  -  [ 2 DISCS ],[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00898.html
SLUS-00442,COURIER CRISIS,[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-00442.html
SLUS-01151SLUS-01157,COVERT OPS - NUCLEAR DAWN  - [ 2 DISCS ],[E],https://psxdatacenter.com/psx2/games/U/C/SLUS-01151.html
SCUS-94900,CRASH BANDICOOT,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94900.html
SCUS-94154,CRASH BANDICOOT 2 - CORTEX STRIKES BACK,[E],https://psxdatacenter.com/psx2/games/U/C/SCUS-94154.html
